Player,Votes,Share,
Ian Clark,71317,1.87E-03,
Vince Carter,73528,1.93E-03,
Mike Conley,75710,1.99E-03,
Jamal Crawford,76642,2.01E-03,
Montrezl Harrell,80807,2.12E-03,
CJ McCollum,83414,2.19E-03,
Sam Dekker,84509,2.22E-03,
D'Angelo Russell,86770,2.28E-03,
J.R. Smith,94403,2.48E-03,
Avery Bradley,97441,2.56E-03,
Clint Capela,97556,2.56E-03,
Andre Drummond,100797,2.65E-03,
Tony Parker,111148,2.92E-03,
Dirk Nowitzki,112164,2.94E-03,
Al Horford,122190,3.21E-03,
Rudy Gobert,124890,3.28E-03,
Shaun Livingston,127248,3.34E-03,
Andrew Wiggins,135482,3.56E-03,
Steven Adams,145223,3.81E-03,
Dwight Howard,151155,3.97E-03,
Zach LaVine,156616,4.11E-03,
Gordon Hayward,160209,4.20E-03,
Ersan Ilyasova,162185,4.26E-03,
Patrick Beverley,169351,4.44E-03,
Hassan Whiteside,169746,4.45E-03,
Kemba Walker,170299,4.47E-03,
Nikola Jokic,173327,4.55E-03,
Jabari Parker,198574,5.21E-03,
Jeremy Lin,202502,5.31E-03,
Ryan Anderson,207227,5.44E-03,
Pau Gasol,214387,5.63E-03,
Manu Ginobili,214670,5.63E-03,
Trevor Ariza,221369,5.81E-03,
JaVale McGee,229738,6.03E-03,
DeAndre Jordan,237708,6.24E-03,
Tristan Thompson,245822,6.45E-03,
Marc Gasol,273705,7.18E-03,
Andre Iguodala,290271,7.62E-03,
Blake Griffin,295161,7.75E-03,
John Wall,301437,7.91E-03,
LaMarcus Aldridge,323814,8.50E-03,
Derrick Rose,337706,8.86E-03,
Damian Lillard,340593,8.94E-03,
Karl-Anthony Towns,367199,9.64E-03,
Paul George,426325,1.12E-02,
Eric Gordon,450891,1.18E-02,
Jordan Clarkson,460979,1.21E-02,
Kyle Lowry,471697,1.24E-02,
Kristaps Porzingis,486527,1.28E-02,
Carmelo Anthony,544133,1.43E-02,
DeMarcus Cousins,654274,1.72E-02,
Jimmy Butler,691072,1.81E-02,
Chris Paul,735460,1.93E-02,
Isaiah Thomas,755102,1.98E-02,
DeMar DeRozan,796112,2.09E-02,
Kevin Love,909488,2.39E-02,
Draymond Green,914973,2.40E-02,
Joel Embiid,922174,2.42E-02,
Anthony Davis,974802,2.56E-02,
Dwyane Wade,979566,2.57E-02,
Klay Thompson,1054304,2.77E-02,
Kawhi Leonard,1058399,2.78E-02,
Zaza Pachulia,1528941,4.01E-02,
Russell Westbrook,1575865,4.14E-02,
Giannis Antetokounmpo,1604463,4.21E-02,
Kyrie Irving,1696769,4.45E-02,
Kevin Durant,1768185,4.64E-02,
James Harden,1771375,4.65E-02,
Stephen Curry,1848121,4.85E-02,
LeBron James,1893751,4.97E-02,
