Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG,RPG,APG,STLPG,BLKPG,MPG,Username,pagerank,eigen,load,betw,followers,Votes
2017.0,Nicolas Batum,SG,28.0,CHO,77.0,77.0,2617.0,15.8,0.529,0.415,0.29100000000000004,1.9,18.4,10.1,27.6,1.6,1.0,15.0,22.3,1.7,2.8,4.5,0.083,0.6,0.6,1.2,2.1,393.0,975.0,0.40299999999999997,135.0,405.0,0.33299999999999996,258.0,570.0,0.45299999999999996,0.47200000000000003,243.0,284.0,0.856,46.0,435.0,481.0,455.0,86.0,29.0,194.0,109.0,1164.0,15.116883116883116,6.246753246753247,5.909090909090909,1.1168831168831168,0.37662337662337664,33.98701298701299,nicbatum88,0.002712304,0.013442135,0.001125253,0.001021675,219665.0,30912.0
2017.0,Jerryd Bayless,PG,28.0,PHI,3.0,1.0,71.0,8.7,0.45299999999999996,0.156,0.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,-0.1,0.0,-0.1,-0.067,-5.2,-2.9,-8.2,-0.1,11.0,32.0,0.344,2.0,5.0,0.4,9.0,27.0,0.33299999999999996,0.375,9.0,10.0,0.9,3.0,9.0,12.0,13.0,0.0,0.0,9.0,4.0,33.0,11.0,4.0,4.333333333333333,0.0,0.0,23.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,3255.0
2017.0,Aron Baynes,C,30.0,DET,75.0,2.0,1163.0,13.1,0.57,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3.0,0.12300000000000001,-2.9,1.1,-1.8,0.1,143.0,279.0,0.513,0.0,0.0,,143.0,279.0,0.513,0.513,79.0,94.0,0.84,111.0,222.0,333.0,32.0,17.0,39.0,50.0,166.0,365.0,4.866666666666666,4.44,0.4266666666666667,0.22666666666666666,0.52,15.506666666666666,houseobayne,0.0032532359999999996,0.019364821,0.002592441,0.002393123,144113.0,2968.0
2017.0,Kent Bazemore,SF,27.0,ATL,73.0,64.0,1963.0,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.053,-2.0,1.2,-0.8,0.6,295.0,721.0,0.409,92.0,266.0,0.34600000000000003,203.0,455.0,0.446,0.473,119.0,168.0,0.708,45.0,186.0,231.0,177.0,91.0,52.0,125.0,165.0,801.0,10.972602739726028,3.164383561643836,2.4246575342465753,1.2465753424657535,0.7123287671232876,26.89041095890411,0.0,0.0,0.0,0.0,0.0,0.0,5684.0
2017.0,Bradley Beal,SG,23.0,WAS,77.0,77.0,2684.0,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.8,1.6,8.5,0.151,4.5,-2.4,2.2,2.8,637.0,1322.0,0.48200000000000004,223.0,552.0,0.40399999999999997,414.0,770.0,0.5379999999999999,0.5660000000000001,282.0,342.0,0.825,53.0,186.0,239.0,267.0,83.0,21.0,157.0,169.0,1779.0,23.103896103896105,3.103896103896104,3.4675324675324677,1.077922077922078,0.2727272727272727,34.857142857142854,bradbeal3,0.008009736,0.11449392800000001,0.009383638,0.009779026,933715.0,48243.0
2017.0,Malik Beasley,SG,20.0,DEN,22.0,1.0,165.0,13.7,0.536,0.384,0.13699999999999998,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,0.057,-0.5,-3.5,-3.9,-0.1,33.0,73.0,0.452,9.0,28.0,0.321,24.0,45.0,0.5329999999999999,0.514,8.0,10.0,0.8,5.0,12.0,17.0,11.0,7.0,0.0,8.0,10.0,83.0,3.772727272727273,0.7727272727272727,0.5,0.3181818181818182,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2060.0
2017.0,Michael Beasley,PF,28.0,MIL,56.0,6.0,935.0,17.8,0.584,0.106,0.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,0.8,1.0,1.8,0.09300000000000001,-1.7,-1.1,-2.9,-0.2,216.0,406.0,0.532,18.0,43.0,0.419,198.0,363.0,0.545,0.5539999999999999,78.0,105.0,0.743,40.0,153.0,193.0,53.0,28.0,27.0,66.0,92.0,528.0,9.428571428571429,3.4464285714285716,0.9464285714285714,0.5,0.48214285714285715,16.696428571428573,0.0,0.0,0.0,0.0,0.0,0.0,15458.0
2017.0,Marco Belinelli,SG,30.0,CHO,74.0,0.0,1778.0,13.3,0.5660000000000001,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2.0,1.2,3.2,0.08800000000000001,0.1,-2.0,-1.9,0.1,264.0,615.0,0.429,102.0,283.0,0.36,162.0,332.0,0.488,0.512,150.0,168.0,0.893,14.0,164.0,178.0,147.0,44.0,9.0,70.0,90.0,780.0,10.54054054054054,2.4054054054054053,1.9864864864864864,0.5945945945945946,0.12162162162162163,24.027027027027028,0.0,0.0,0.0,0.0,0.0,0.0,10875.0
2017.0,DeAndre' Bembry,SF,22.0,ATL,38.0,1.0,371.0,8.8,0.48100000000000004,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-4.4,0.1,-4.3,-0.2,47.0,98.0,0.48,1.0,18.0,0.055999999999999994,46.0,80.0,0.575,0.485,6.0,16.0,0.375,14.0,45.0,59.0,28.0,8.0,5.0,16.0,21.0,101.0,2.6578947368421053,1.5526315789473684,0.7368421052631579,0.21052631578947367,0.13157894736842105,9.763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1521.0
2017.0,Dragan Bender,PF,19.0,PHO,43.0,0.0,574.0,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.028999999999999998,-4.0,-0.3,-4.3,-0.3,57.0,161.0,0.354,28.0,101.0,0.27699999999999997,29.0,60.0,0.483,0.441,4.0,11.0,0.364,23.0,80.0,103.0,23.0,10.0,22.0,32.0,74.0,146.0,3.395348837209302,2.395348837209302,0.5348837209302325,0.23255813953488372,0.5116279069767442,13.348837209302326,0.0,0.0,0.0,0.0,0.0,0.0,2609.0
2017.0,Davis Bertans,PF,24.0,SAS,67.0,6.0,808.0,12.9,0.609,0.7390000000000001,0.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,0.135,1.2,0.5,1.7,0.8,103.0,234.0,0.44,69.0,173.0,0.39899999999999997,34.0,61.0,0.557,0.588,28.0,34.0,0.8240000000000001,22.0,77.0,99.0,46.0,20.0,28.0,32.0,75.0,303.0,4.522388059701493,1.4776119402985075,0.6865671641791045,0.29850746268656714,0.417910447761194,12.059701492537313,0.0,0.0,0.0,0.0,0.0,0.0,20639.0
2017.0,Patrick Beverley,SG,28.0,HOU,67.0,67.0,2058.0,13.0,0.546,0.53,0.175,5.0,15.9,10.4,18.8,2.3,1.0,14.6,14.1,2.9,2.4,5.3,0.124,0.8,1.5,2.3,2.2,228.0,543.0,0.42,110.0,288.0,0.382,118.0,255.0,0.46299999999999997,0.521,73.0,95.0,0.768,95.0,299.0,394.0,281.0,99.0,25.0,100.0,222.0,639.0,9.537313432835822,5.880597014925373,4.1940298507462686,1.4776119402985075,0.373134328358209,30.71641791044776,0.0,0.0,0.0,0.0,0.0,0.0,169351.0
2017.0,Bismack Biyombo,C,24.0,ORL,81.0,27.0,1793.0,12.2,0.546,0.0,0.69,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,0.8,2.1,2.9,0.077,-4.2,2.0,-2.2,-0.1,179.0,339.0,0.528,0.0,0.0,,179.0,339.0,0.528,0.528,125.0,234.0,0.534,157.0,410.0,567.0,74.0,25.0,91.0,95.0,202.0,483.0,5.962962962962963,7.0,0.9135802469135802,0.30864197530864196,1.123456790123457,22.135802469135804,bismackbiyombo,0.004492381,0.022424528,0.009821236,0.009257631,111812.0,7804.0
