Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
79,Thomas Bryant\bryanth01,C,21,WAS,62,1180,21.2,.678,.185,.283,8.0,24.8,16.3,9.2,0.9,4.0,9.1,17.3,,3.5,1.1,4.6,.186,,1.1,0.4,1.6,1.1
80,Reggie Bullock\bullore01,SG,27,TOT,60,1797,10.4,.562,.663,.147,1.3,8.7,4.9,10.3,1.0,0.5,9.6,15.8,,1.5,1.3,2.8,.076,,0.1,-1.0,-0.9,0.5
80,Reggie Bullock\bullore01,SG,27,DET,44,1355,11.0,.569,.667,.145,1.6,8.6,5.0,12.0,0.9,0.3,10.3,16.6,,1.4,1.0,2.4,.084,,0.7,-1.1,-0.4,0.6
80,Reggie Bullock\bullore01,SG,27,LAL,16,442,8.4,.537,.650,.154,0.5,8.9,4.8,5.0,1.3,1.1,7.1,13.3,,0.1,0.3,0.4,.049,,-1.6,-0.7,-2.3,0.0
81,Trey Burke\burketr01,PG,26,TOT,47,892,15.8,.510,.252,.224,2.7,7.3,4.9,22.1,1.6,0.6,8.0,25.1,,0.7,0.3,1.1,.058,,-0.1,-3.0,-3.1,-0.2
81,Trey Burke\burketr01,PG,26,NYK,33,689,15.7,.496,.240,.209,2.2,7.4,4.7,23.4,1.5,0.6,6.9,25.9,,0.5,0.2,0.7,.046,,0.0,-3.3,-3.3,-0.2
81,Trey Burke\burketr01,PG,26,DAL,14,203,16.2,.566,.301,.289,4.3,6.9,5.6,17.8,1.9,0.4,12.2,22.5,,0.3,0.1,0.4,.097,,-0.2,-2.0,-2.1,0.0
82,Alec Burks\burksal01,SG,27,TOT,62,1361,12.7,.523,.354,.297,2.3,16.8,9.3,13.9,1.4,1.3,10.8,19.2,,0.7,0.8,1.5,.053,,-1.5,-0.6,-2.1,0.0
82,Alec Burks\burksal01,SG,27,UTA,17,269,12.5,.547,.377,.333,0.8,10.0,5.4,11.4,1.1,1.2,10.3,23.2,,0.2,0.3,0.5,.083,,-2.1,-1.6,-3.7,-0.1
82,Alec Burks\burksal01,SG,27,CLE,34,979,13.2,.517,.350,.288,2.8,18.8,10.5,15.1,1.3,1.4,10.7,19.2,,0.6,0.3,0.9,.045,,-1.0,-0.6,-1.6,0.1
82,Alec Burks\burksal01,SG,27,SAC,11,113,8.5,.495,.300,.250,0.9,15.7,8.2,8.7,2.9,0.8,15.3,9.5,,0.0,0.1,0.1,.053,,-4.1,1.8,-2.3,0.0
83,Deonte Burton\burtode02,SG,25,OKC,27,229,7.4,.485,.312,.130,1.8,9.7,5.6,4.7,1.2,2.9,10.0,16.0,,-0.1,0.3,0.2,.036,,-5.4,-0.5,-5.9,-0.2
84,Jimmy Butler\butleji01,SF-SG,29,TOT,59,1994,20.8,.577,.218,.396,5.9,10.2,8.1,18.4,2.7,1.5,8.1,22.5,,5.2,2.3,7.6,.182,,3.0,0.7,3.7,2.9
84,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.4,.579,.287,.389,4.7,10.8,7.7,18.2,3.2,2.4,7.1,23.0,,1.0,0.4,1.4,.180,,3.8,0.8,4.6,0.6
84,Jimmy Butler\butleji01,SF,29,PHI,49,1633,20.4,.577,.203,.398,6.2,10.0,8.2,18.4,2.6,1.3,8.4,22.4,,4.3,2.0,6.2,.183,,2.8,0.6,3.4,2.2
85,Bruno Caboclo\cabocbr01,SF,23,MEM,23,470,9.6,.541,.627,.220,4.5,15.6,10.0,9.1,0.8,4.1,15.6,14.7,,0.0,0.6,0.6,.060,,-2.6,1.3,-1.3,0.1
86,Jose Calderon\caldejo01,PG,37,DET,48,628,7.2,.456,.471,.092,1.8,8.8,5.2,25.0,1.3,0.4,22.0,10.9,,0.1,0.5,0.6,.045,,-3.8,-1.0,-4.8,-0.4
87,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,71,1657,12.4,.576,.587,.223,2.4,9.2,5.9,6.2,1.7,0.6,7.7,16.9,,1.8,1.3,3.1,.090,,0.3,-1.2,-1.0,0.4
88,Isaiah Canaan\canaais01,PG,27,TOT,30,629,8.0,.518,.585,.146,1.0,9.3,5.1,18.2,1.1,0.3,16.7,14.2,,0.1,0.1,0.1,.011,,-2.4,-2.6,-5.0,-0.5
88,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.3,.515,.558,.155,1.1,9.9,5.4,17.0,1.1,0.0,17.4,14.2,,-0.1,0.0,0.0,-0.003,,-2.7,-2.4,-5.0,-0.4
88,Isaiah Canaan\canaais01,PG,27,MIN,7,95,12.4,.536,.655,.138,0.0,5.7,2.8,26.9,1.0,0.9,11.5,15.3,,0.1,0.0,0.2,.082,,-0.4,-4.7,-5.1,-0.1
88,Isaiah Canaan\canaais01,PG,27,MIL,4,31,5.3,.500,.833,.000,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,,0.0,0.0,0.0,.031,,-4.2,-0.1,-4.3,0.0
89,Clint Capela\capelca01,C,24,HOU,57,1945,23.4,.652,.000,.357,14.5,26.5,20.4,6.8,1.0,3.9,10.1,18.3,,6.5,2.2,8.7,.215,,1.2,1.1,2.3,2.1
90,DeMarre Carroll\carrode01,SF,32,BRK,59,1482,12.5,.547,.534,.436,4.4,17.7,11.1,7.6,0.9,0.4,9.7,18.9,,1.4,1.4,2.8,.092,,-0.9,-0.9,-1.8,0.1
91,Jevon Carter\carteje01,PG,23,MEM,28,409,4.7,.368,.525,.136,1.4,9.5,5.4,16.1,2.7,2.3,16.7,16.5,,-1.0,0.6,-0.4,-0.050,,-6.1,0.9,-5.2,-0.3
