Player,Votes
Kyle Anderson,0.000856406
D'Angelo Russell,0.000864829
Malcolm Brogdon,0.000884622
Tobias Harris,0.000896641
Lauri Markkanen,0.000974518
Rudy Gobert,0.000977177
OG Anunoby,0.000989441
Omri Casspi,0.001062516
Julius Randle,0.001077662
Tristan Thompson,0.001084923
Danny Green,0.00108709
Vince Carter,0.001099466
J.R. Smith,0.001104805
Shaun Livingston,0.0011311
Rudy Gay,0.00114953
Myles Turner,0.001166464
Jae Crowder,0.001237751
Tim Hardaway Jr.,0.001281359
Jonas Valanciunas,0.001395628
Michael Beasley,0.001406664
Goran Dragic,0.00141607
Andre Roberson,0.001429407
JaVale McGee,0.001468971
David West,0.001496583
Lou Williams,0.001564921
Jeff Green,0.001571601
Trevor Ariza,0.001582838
Gordon Hayward,0.001770696
Nick Young,0.001779386
Marc Gasol,0.001792812
Cedi Osman,0.001800832
Aaron Gordon,0.001843212
Hassan Whiteside,0.001916822
CJ McCollum,0.00216292
Dirk Nowitzki,0.002207064
Kyle Korver,0.002224534
Kemba Walker,0.002248125
Khris Middleton,0.002455463
Nikola Jokic,0.002567521
Serge Ibaka,0.002615508
Zhou Qi,0.002627705
DeAndre Jordan,0.002689721
Eric Gordon,0.002757032
Eric Bledsoe,0.002775351
Jordan Bell,0.002924649
Zaza Pachulia,0.002998126
Andrew Wiggins,0.003099773
Donovan Mitchell,0.003115724
Tony Parker,0.003116148
Derrick Rose,0.003272395
Pau Gasol,0.003537102
Clint Capela,0.003929997
Dwight Howard,0.004174107
Jordan Clarkson,0.004218563
Blake Griffin,0.004334977
Jaylen Brown,0.004582036
Andre Drummond,0.004931256
Brandon Ingram,0.005152802
Andre Iguodala,0.005773052
Devin Booker,0.005988053
Bradley Beal,0.006014794
Enes Kanter,0.006588665
Kyle Lowry,0.007194304
Jimmy Butler,0.007359599
Steven Adams,0.008060786
Al Horford,0.008599494
Jayson Tatum,0.009441357
Damian Lillard,0.009817609
Isaiah Thomas,0.010032721
Kyle Kuzma,0.011726902
John Wall,0.01212699
Karl-Anthony Towns,0.012340114
Chris Paul,0.012564677
LaMarcus Aldridge,0.012931612
Lonzo Ball,0.013581887
Carmelo Anthony,0.013672587
Dwyane Wade,0.013789873
Victor Oladipo,0.014174658
Ben Simmons,0.014954371
Kawhi Leonard,0.016572707
Kevin Love,0.017244942
Paul George,0.019688007
DeMarcus Cousins,0.020603547
DeMar DeRozan,0.0223177
Anthony Davis,0.024311126
Kristaps Porzingis,0.024948689
Draymond Green,0.02536665
Klay Thompson,0.027696495
Russell Westbrook,0.0277269
Joel Embiid,0.028720094
James Harden,0.033215875
Manu Ginobili,0.040410046
Kyrie Irving,0.048496545
Kevin Durant,0.05000613
Stephen Curry,0.053158045
Giannis Antetokounmpo,0.056525072
LeBron James,0.058939653
